id	bed	vcf	status
P327T_AR_1	P327T_AR_1	NKI_P327T	tumor
P328T_AR_1	P328T_AR_1	NKI_P328T	tumor
P336T_AR_1	P336T_AR_1	NKI_P336T	tumor
P342T_AR_1	P342T_AR_1	NKI_P342T	tumor
P343T_AR_1	P343T_AR_1	NKI_P343T	tumor
P348T_AR_1	P348T_AR_1	NKI_P348T	tumor
P349T_AR_1	P349T_AR_1	NKI_P349T	tumor
P352T_AR_1	P352T_AR_1	NKI_P352T	tumor
P355T_AR_1	P355T_AR_1	NKI_P355T	tumor
P416T_AR_1	P416T_AR_1	NKI_P416T	tumor
P426T_AR_1	P426T_AR_1	NKI_P426T	tumor
P427T_AR_1	P427T_AR_1	NKI_P427T	tumor
P431T_AR_1	P431T_AR_1	NKI_P431T	tumor
P433T_AR_1	P433T_AR_1	NKI_P433T	tumor
P444T_AR_1	P444T_AR_1	NKI_P444T	tumor
P449T_AR_1	P449T_AR_1	NKI_P449T	tumor
P450T_AR_1	P450T_AR_1	NKI_P450T	tumor
P452T_AR_1	P452T_AR_1	NKI_P452T	tumor
P456T_AR_1	P456T_AR_1	NKI_P456T	tumor
P462T_AR_1	P462T_AR_1	NKI_P462T	tumor
P464T_AR_1	P464T_AR_1	NKI_P464T	tumor
P466T_AR_1	P466T_AR_1	NKI_P466T	tumor
P475T_AR_1	P475T_AR_1	NKI_P475T	tumor
P500T_AR_1	P500T_AR_1	NKI_P500T	tumor
P506T_AR_1	P506T_AR_1	NKI_P506T	tumor
P507T_AR_1	P507T_AR_1	NKI_P507T	tumor
P509T_AR_1	P509T_AR_1	NKI_P509T	tumor
P511T_AR_1	P511T_AR_1	NKI_P511T	tumor
P513T_AR_1	P513T_AR_1	NKI_P513T	tumor
P527T_AR_1	P527T_AR_1	NKI_P527T	tumor
P531T_AR_1	P531T_AR_1	NKI_P531T	tumor
P533T_AR_1	P533T_AR_1	NKI_P533T	tumor
P534T_AR_1	P534T_AR_1	NKI_P534T	tumor
P536T_AR_1	P536T_AR_1	NKI_P536T	tumor
P540T_AR_1	P540T_AR_1	NKI_P540T	tumor
P544T_AR_1	P544T_AR_1	NKI_P544T	tumor
P552T_AR_1	P552T_AR_1	NKI_P552T	tumor
P555T_AR_1	P555T_AR_1	NKI_P555T	tumor
P559T_AR_1	P559T_AR_1	NKI_P559T	tumor
P560T_AR_1	P560T_AR_1	NKI_P560T	tumor
P593T_AR_1	P593T_AR_1	NKI_P593T	tumor
P603T_AR_1	P603T_AR_1	NKI_P603T	tumor
P618T_AR_1	P618T_AR_1	NKI_P618T	tumor
P643T_AR_1	P643T_AR_1	NKI_P643T	tumor
P674T_AR_1	P674T_AR_1	NKI_P674T	tumor
P680T_AR_1	P680T_AR_1	NKI_P680T	tumor
P695T_AR_1	P695T_AR_1	NKI_P695T	tumor
P710T_AR_1	P710T_AR_1	NKI_P710T	tumor
P717T_AR_1	P717T_AR_1	NKI_P717T	tumor
P730T_AR_1	P730T_AR_1	NKI_P730T	tumor
P737T_AR_1	P737T_AR_1	NKI_P737T	tumor
P747T_AR_1	P747T_AR_1	NKI_P747T	tumor
P779T_AR_1	P779T_AR_1	NKI_P779T	tumor
P811T_AR_1	P811T_AR_1	NKI_P811T	tumor
P832T_AR_1	P832T_AR_1	NKI_P832T	tumor
UW_AR_PDX_136	AR_PDX_136	UW_PDX_136	tumor
UW_AR_PDX_141	AR_PDX_141	UW_PDX_141	tumor
UW_AR_PDX_167	AR_PDX_167	UW_PDX_167	tumor
UW_AR_PDX_170_2	AR_PDX_170_2	UW_PDX_170_2	tumor
UW_AR_PDX_170_3	AR_PDX_170_3	UW_PDX_170_3	tumor
UW_AR_PDX_189_3	AR_PDX_189_3	UW_PDX_189_3	tumor
UW_AR_PDX_189_4	AR_PDX_189_4	UW_PDX_189_4	tumor
UW_AR_PDX_35	AR_PDX_35	UW_PDX_35	tumor
UW_AR_PDX_58	AR_PDX_58	UW_PDX_58	tumor
UW_AR_PDX_70	AR_PDX_70	UW_PDX_70	tumor
UW_AR_PDX_77	AR_PDX_77	UW_PDX_77	tumor
UW_AR_PDX_78	AR_PDX_78	UW_PDX_78	tumor
UW_AR_PDX_81	AR_PDX_81	UW_PDX_81	tumor
UW_AR_PDX_86_2	AR_PDX_86_2	UW_PDX_86_2	tumor
UW_AR_PDX_92	AR_PDX_92	UW_PDX_92	tumor
