index	identifier	sum_stat	mark	detail	target	assay	feature_names
29	ENCFF305BCB	mean	DNASE	endothelial cell of umbilical vein newborn	NA	DNase-seq	f_29
30	ENCFF015IAT	mean	DNASE	CWRU1 male	NA	DNase-seq	f_30
31	ENCFF565AEK	mean	DNASE	iPS-NIHi11 male adult (71 year) originated from AG20443	NA	DNase-seq	f_31
32	ENCFF637TYS	mean	DNASE	iPS-NIHi7 female adult (85 years) originated from AG08395	NA	DNase-seq	f_32
33	ENCFF899YDP	mean	DNASE	K562 treated with 1 uM vorinostat for 72 hours	NA	DNase-seq	f_33
34	ENCFF515UNC	mean	DNASE	K562 G2 phase	NA	DNase-seq	f_34
35	ENCFF708UIS	mean	DNASE	K562 G1 phase	NA	DNase-seq	f_35
36	ENCFF809IIW	mean	DNASE	LNCaP clone FGC	NA	DNase-seq	f_36
37	ENCFF009NEA	mean	DNASE	LNCaP clone FGC treated with 1 nM 17B-hydroxy-17-methylestra-4,9,11-trien-3-one for 12 hours	NA	DNase-seq	f_37
38	ENCFF382YNA	mean	DNASE	MCF-7 originated from MCF-7	NA	DNase-seq	f_38
39	ENCFF585BKY	mean	DNASE	medulloblastoma	NA	DNase-seq	f_39
40	ENCFF863UGY	mean	DNASE	epidermal melanocyte	NA	DNase-seq	f_40
41	ENCFF678LXL	mean	DNASE	CD14-positive monocyte female	NA	DNase-seq	f_41
42	ENCFF690MIA	mean	DNASE	keratinocyte female	NA	DNase-seq	f_42
43	ENCFF300IKA	mean	DNASE	osteoblast	NA	DNase-seq	f_43
44	ENCFF927VUO	mean	DNASE	psoas muscle male adult (27 years) and male adult (35 years)	NA	DNase-seq	f_44
45	ENCFF613XPC	mean	DNASE	T47D treated with 10 nM 17B-estradiol for 30 minutes	NA	DNase-seq	f_45
46	ENCFF300QLZ	mean	DNASE	urothelium cell line	NA	DNase-seq	f_46
47	ENCFF688CJL	mean	DNASE	A549	NA	DNase-seq	f_47
48	ENCFF802ZBQ	mean	DNASE	AG04449	NA	DNase-seq	f_48
49	ENCFF882YMD	mean	DNASE	AG04450	NA	DNase-seq	f_49
50	ENCFF160AIM	mean	DNASE	AG09309	NA	DNase-seq	f_50
51	ENCFF294KLB	mean	DNASE	AG09319	NA	DNase-seq	f_51
52	ENCFF211SDO	mean	DNASE	AG10803	NA	DNase-seq	f_52
53	ENCFF869ECL	mean	DNASE	fibroblast of the aortic adventitia female	NA	DNase-seq	f_53
54	ENCFF695WLT	mean	DNASE	BE2C	NA	DNase-seq	f_54
55	ENCFF107IJY	mean	DNASE	BJ	NA	DNase-seq	f_55
56	ENCFF132EIR	mean	DNASE	HS-27A	NA	DNase-seq	f_56
57	ENCFF964WLS	mean	DNASE	HS-5	NA	DNase-seq	f_57
58	ENCFF747REW	mean	DNASE	stromal cell of bone marrow male	NA	DNase-seq	f_58
59	ENCFF085OHV	mean	DNASE	Caco-2	NA	DNase-seq	f_59
60	ENCFF801IWM	mean	DNASE	B cell female adult (43 years)	NA	DNase-seq	f_60
61	ENCFF274MGW	mean	DNASE	hematopoietic multipotent progenitor cell	NA	DNase-seq	f_61
62	ENCFF753ETN	mean	DNASE	naive thymus-derived CD4-positive, alpha-beta T cell male adult (26 years)	NA	DNase-seq	f_62
63	ENCFF391HDR	mean	DNASE	CMK	NA	DNase-seq	f_63
64	ENCFF171BUA	mean	DNASE	GM04503	NA	DNase-seq	f_64
65	ENCFF602PIH	mean	DNASE	GM04504	NA	DNase-seq	f_65
66	ENCFF617HEH	mean	DNASE	GM06990	NA	DNase-seq	f_66
67	ENCFF709TDR	mean	DNASE	GM12864	NA	DNase-seq	f_67
68	ENCFF427FEF	mean	DNASE	GM12865	NA	DNase-seq	f_68
69	ENCFF915DFR	mean	DNASE	GM12878	NA	DNase-seq	f_69
70	ENCFF131HMO	mean	DNASE	H1-hESC	NA	DNase-seq	f_70
71	ENCFF554DWH	mean	DNASE	cardiac mesoderm	NA	DNase-seq	f_71
72	ENCFF274NDO	mean	DNASE	cardiac mesoderm	NA	DNase-seq	f_72
73	ENCFF501KNP	mean	DNASE	cardiac mesoderm	NA	DNase-seq	f_73
74	ENCFF213FJN	mean	DNASE	cardiac mesoderm	NA	DNase-seq	f_74
75	ENCFF696IEW	mean	DNASE	H7-hESC	NA	DNase-seq	f_75
76	ENCFF499UDS	mean	DNASE	astrocyte of the hippocampus	NA	DNase-seq	f_76
77	ENCFF901UBX	mean	DNASE	astrocyte of the spinal cord	NA	DNase-seq	f_77
78	ENCFF382FZE	mean	DNASE	astrocyte of the cerebellum	NA	DNase-seq	f_78
79	ENCFF102UQK	mean	DNASE	amniotic epithelial cell	NA	DNase-seq	f_79
80	ENCFF025HHG	mean	DNASE	brain microvascular endothelial cell	NA	DNase-seq	f_80
81	ENCFF353QSZ	mean	DNASE	brain pericyte	NA	DNase-seq	f_81
82	ENCFF443IYY	mean	DNASE	smooth muscle cell of the brain vasculature female	NA	DNase-seq	f_82
83	ENCFF049FGZ	mean	DNASE	cardiac fibroblast	NA	DNase-seq	f_83
84	ENCFF472TFO	mean	DNASE	cardiac fibroblast female	NA	DNase-seq	f_84
85	ENCFF484UXW	mean	DNASE	cardiac muscle cell	NA	DNase-seq	f_85
86	ENCFF923EUB	mean	DNASE	fibroblast of the conjunctiva	NA	DNase-seq	f_86
87	ENCFF021NBR	mean	DNASE	choroid plexus epithelial cell	NA	DNase-seq	f_87
88	ENCFF169PCK	mean	DNASE	HCT116	NA	DNase-seq	f_88
89	ENCFF655LKW	mean	DNASE	epithelial cell of esophagus	NA	DNase-seq	f_89
90	ENCFF830FDL	mean	DNASE	HeLa-S3 G1b phase	NA	DNase-seq	f_90
91	ENCFF205TKQ	mean	DNASE	HepG2	NA	DNase-seq	f_91
92	ENCFF111BCZ	mean	DNASE	foreskin fibroblast male newborn	NA	DNase-seq	f_92
93	ENCFF103JVK	mean	DNASE	HFF-Myc originated from foreskin fibroblast	NA	DNase-seq	f_93
94	ENCFF117RGP	mean	DNASE	fibroblast of gingiva	NA	DNase-seq	f_94
95	ENCFF390MSL	mean	DNASE	iris pigment epithelial cell	NA	DNase-seq	f_95
96	ENCFF634ZUJ	mean	DNASE	HL-60	NA	DNase-seq	f_96
97	ENCFF263BZU	mean	DNASE	mammary epithelial cell female	NA	DNase-seq	f_97
98	ENCFF724CMH	mean	DNASE	fibroblast of mammary gland female	NA	DNase-seq	f_98
99	ENCFF969NNQ	mean	DNASE	dermis blood vessel endothelial cell female adult	NA	DNase-seq	f_99
100	ENCFF250ZZO	mean	DNASE	dermis blood vessel endothelial cell female adult	NA	DNase-seq	f_100
101	ENCFF189TQN	mean	DNASE	dermis blood vessel endothelial cell male newborn	NA	DNase-seq	f_101
102	ENCFF130RBG	mean	DNASE	dermis microvascular lymphatic vessel endothelial cell female	NA	DNase-seq	f_102
103	ENCFF431JNM	mean	DNASE	dermis microvascular lymphatic vessel endothelial cell male	NA	DNase-seq	f_103
104	ENCFF468FOP	mean	DNASE	dermis blood vessel endothelial cell male newborn	NA	DNase-seq	f_104
105	ENCFF010NPI	mean	DNASE	lung microvascular endothelial cell female	NA	DNase-seq	f_105
106	ENCFF999UJH	mean	DNASE	lung microvascular endothelial cell female	NA	DNase-seq	f_106
107	ENCFF714QQU	mean	DNASE	non-pigmented ciliary epithelial cell	NA	DNase-seq	f_107
108	ENCFF719ZEX	mean	DNASE	pulmonary artery endothelial cell female	NA	DNase-seq	f_108
109	ENCFF184UHW	mean	DNASE	fibroblast of pulmonary artery	NA	DNase-seq	f_109
110	ENCFF519CAJ	mean	DNASE	fibroblast of peridontal ligament male	NA	DNase-seq	f_110
111	ENCFF655AEV	mean	DNASE	fibroblast of lung	NA	DNase-seq	f_111
112	ENCFF457RRO	mean	DNASE	renal cortical epithelial cell	NA	DNase-seq	f_112
113	ENCFF221IPJ	mean	DNASE	kidney epithelial cell	NA	DNase-seq	f_113
114	ENCFF656ZYW	mean	DNASE	glomerular endothelial cell	NA	DNase-seq	f_114
115	ENCFF634YGE	mean	DNASE	retinal pigment epithelial cell	NA	DNase-seq	f_115
116	ENCFF549TYD	mean	DNASE	skeletal muscle myoblast	NA	DNase-seq	f_116
117	ENCFF684FJC	mean	DNASE	myotube originated from skeletal muscle myoblast	NA	DNase-seq	f_117
118	ENCFF752DYE	mean	DNASE	endothelial cell of umbilical vein newborn	NA	DNase-seq	f_118
119	ENCFF652HJH	mean	DNASE	fibroblast of villous mesenchyme	NA	DNase-seq	f_119
120	ENCFF916JRN	mean	DNASE	Jurkat clone E61	NA	DNase-seq	f_120
121	ENCFF413AHU	mean	DNASE	K562	NA	DNase-seq	f_121
122	ENCFF868NHV	mean	DNASE	K562	NA	DNase-seq	f_122
123	ENCFF565YDB	mean	DNASE	K562	NA	DNase-seq	f_123
124	ENCFF748YJM	mean	DNASE	myocyte originated from LHCN-M2	NA	DNase-seq	f_124
125	ENCFF639MPM	mean	DNASE	LHCN-M2	NA	DNase-seq	f_125
126	ENCFF571HTM	mean	DNASE	LNCaP clone FGC	NA	DNase-seq	f_126
127	ENCFF250TLK	mean	DNASE	M059J	NA	DNase-seq	f_127
128	ENCFF924FJR	mean	DNASE	MCF-7	NA	DNase-seq	f_128
129	ENCFF606KFN	mean	DNASE	MCF-7 treated with 100 nM estradiol for 1 hour	NA	DNase-seq	f_129
130	ENCFF411ZPI	mean	DNASE	MCF-7	NA	DNase-seq	f_130
131	ENCFF659BVQ	mean	DNASE	CD14-positive monocyte female	NA	DNase-seq	f_131
132	ENCFF897EZG	mean	DNASE	NB4	NA	DNase-seq	f_132
133	ENCFF320CHE	mean	DNASE	astrocyte	NA	DNase-seq	f_133
134	ENCFF940PZT	mean	DNASE	bronchial epithelial cell female treated with retinoic acid	NA	DNase-seq	f_134
135	ENCFF302JEV	mean	DNASE	fibroblast of dermis female adult	NA	DNase-seq	f_135
136	ENCFF861ULS	mean	DNASE	foreskin fibroblast male newborn	NA	DNase-seq	f_136
137	ENCFF767YBP	mean	DNASE	keratinocyte female	NA	DNase-seq	f_137
138	ENCFF330KHN	mean	DNASE	fibroblast of lung male adult (45 years)	NA	DNase-seq	f_138
139	ENCFF644NWU	mean	DNASE	NT2/D1	NA	DNase-seq	f_139
140	ENCFF698HGI	mean	DNASE	Panc1	NA	DNase-seq	f_140
141	ENCFF739CBQ	mean	DNASE	epithelial cell of prostate	NA	DNase-seq	f_141
142	ENCFF991YWM	mean	DNASE	RPMI-7951	NA	DNase-seq	f_142
143	ENCFF499KPZ	mean	DNASE	epithelial cell of proximal tubule	NA	DNase-seq	f_143
144	ENCFF827VFY	mean	DNASE	bronchial epithelial cell	NA	DNase-seq	f_144
145	ENCFF440XZH	mean	DNASE	SK-N-MC	NA	DNase-seq	f_145
146	ENCFF851VBR	mean	DNASE	SK-N-SH treated with 6 uM all-trans-retinoic acid for 48 hours	NA	DNase-seq	f_146
147	ENCFF627SBE	mean	DNASE	skeletal muscle cell	NA	DNase-seq	f_147
148	ENCFF367ZVE	mean	DNASE	T47D	NA	DNase-seq	f_148
149	ENCFF479VHW	mean	DNASE	T-helper 1 cell	NA	DNase-seq	f_149
150	ENCFF204BQM	mean	DNASE	T-helper 1 cell female adult (26 years)	NA	DNase-seq	f_150
151	ENCFF795TGF	mean	DNASE	T-helper 1 cell male adult (33 years)	NA	DNase-seq	f_151
152	ENCFF566QDG	mean	DNASE	T-helper 17 cell	NA	DNase-seq	f_152
153	ENCFF335KDD	mean	DNASE	T-helper 2 cell	NA	DNase-seq	f_153
154	ENCFF768PJS	mean	DNASE	T-helper 2 cell female adult (26 years)	NA	DNase-seq	f_154
155	ENCFF438GIW	mean	DNASE	T-helper 2 cell male adult (33 years)	NA	DNase-seq	f_155
156	ENCFF313YWE	mean	DNASE	regulatory T cell female adult (35 years)	NA	DNase-seq	f_156
157	ENCFF622JVD	mean	DNASE	regulatory T cell male adult (28 years)	NA	DNase-seq	f_157
158	ENCFF369NZI	mean	DNASE	WERI-Rb-1	NA	DNase-seq	f_158
159	ENCFF189ULK	mean	DNASE	WI38 genetically modified using stable transfection originated from WI38 treated with 20 nM afimoxifene for 72 hours	NA	DNase-seq	f_159
160	ENCFF040DSN	mean	DNASE	WI38 genetically modified using stable transfection originated from WI38	NA	DNase-seq	f_160
161	ENCFF953AFG	mean	DNASE	HT1080	NA	DNase-seq	f_161
162	ENCFF810XTS	mean	DNASE	SK-MEL-5	NA	DNase-seq	f_162
163	ENCFF741DDM	mean	DNASE	SJCRH30	NA	DNase-seq	f_163
164	ENCFF143RMC	mean	DNASE	NCI-H460	NA	DNase-seq	f_164
165	ENCFF989ALW	mean	DNASE	SK-N-DZ treated with dimethyl sulfoxide for 72 hours	NA	DNase-seq	f_165
166	ENCFF938XUM	mean	DNASE	GM23338 male adult (53 years) originated from GM23248	NA	DNase-seq	f_166
167	ENCFF362UJZ	mean	DNASE	lung embryo (112 days)	NA	DNase-seq	f_167
168	ENCFF820SGC	mean	DNASE	SK-MEL-5	NA	DNase-seq	f_168
169	ENCFF739XXP	mean	DNASE	muscle of back female embryo (113 days)	NA	DNase-seq	f_169
170	ENCFF694RNX	mean	DNASE	iPS DF 4.7 male newborn	NA	DNase-seq	f_170
171	ENCFF461CDQ	mean	DNASE	right renal cortex interstitium male embryo (105 days)	NA	DNase-seq	f_171
172	ENCFF498QFP	mean	DNASE	caudate nucleus male adult (78 years)	NA	DNase-seq	f_172
173	ENCFF245IYM	mean	DNASE	left renal pelvis male embryo (105 days)	NA	DNase-seq	f_173
174	ENCFF855CJL	mean	DNASE	H9 S1 phase genetically modified using stable transfection	NA	DNase-seq	f_174
175	ENCFF960UKQ	mean	DNASE	right kidney female embryo (87 days)	NA	DNase-seq	f_175
176	ENCFF220RFB	mean	DNASE	Karpas-422	NA	DNase-seq	f_176
177	ENCFF439EFF	mean	DNASE	CD8-positive, alpha-beta T cell male adult (21 year)	NA	DNase-seq	f_177
178	ENCFF825MFH	mean	DNASE	renal cortex interstitium female embryo (96 days)	NA	DNase-seq	f_178
179	ENCFF735MKP	mean	DNASE	brain female embryo (85 days)	NA	DNase-seq	f_179
180	ENCFF920AZN	mean	DNASE	muscle of leg male embryo (97 days)	NA	DNase-seq	f_180
181	ENCFF577QJI	mean	DNASE	muscle of back female embryo (105 days)	NA	DNase-seq	f_181
182	ENCFF681MHT	mean	DNASE	placenta female embryo (113 days)	NA	DNase-seq	f_182
183	ENCFF971NFK	mean	DNASE	foreskin keratinocyte male newborn	NA	DNase-seq	f_183
184	ENCFF842TPR	mean	DNASE	right kidney female embryo (107 days)	NA	DNase-seq	f_184
185	ENCFF076JMD	mean	DNASE	RCC 7860	NA	DNase-seq	f_185
186	ENCFF188JVI	mean	DNASE	colon epithelial cell line	NA	DNase-seq	f_186
187	ENCFF269PEU	mean	DNASE	left renal cortex interstitium male embryo (120 days)	NA	DNase-seq	f_187
188	ENCFF400NBT	mean	DNASE	T-cell	NA	DNase-seq	f_188
189	ENCFF304TGP	mean	DNASE	large intestine male embryo (113 days)	NA	DNase-seq	f_189
190	ENCFF999OEJ	mean	DNASE	PC-3	NA	DNase-seq	f_190
191	ENCFF813VDR	mean	DNASE	muscle of leg male embryo (96 days)	NA	DNase-seq	f_191
192	ENCFF613SVD	mean	DNASE	adrenal gland embryo (96 days)	NA	DNase-seq	f_192
193	ENCFF519PNO	mean	DNASE	coronary artery female adult (53 years)	NA	DNase-seq	f_193
194	ENCFF022OWT	mean	DNASE	stomach female embryo (105 days)	NA	DNase-seq	f_194
195	ENCFF529MMP	mean	DNASE	muscle of arm female embryo (115 days)	NA	DNase-seq	f_195
196	ENCFF854MAD	mean	DNASE	heart female embryo (91 day)	NA	DNase-seq	f_196
197	ENCFF734DOF	mean	DNASE	kidney embryo (80 days)	NA	DNase-seq	f_197
198	ENCFF678EIG	mean	DNASE	heart left ventricle female adult (53 years)	NA	DNase-seq	f_198
199	ENCFF581JDF	mean	DNASE	muscle of back female embryo (98 days)	NA	DNase-seq	f_199
200	ENCFF475YJR	mean	DNASE	lung male embryo (108 days)	NA	DNase-seq	f_200
201	ENCFF146VLD	mean	DNASE	tibial artery female adult (53 years)	NA	DNase-seq	f_201
202	ENCFF580LWU	mean	DNASE	adrenal gland male embryo (101 day)	NA	DNase-seq	f_202
203	ENCFF192KLJ	mean	DNASE	kidney female embryo (121 day)	NA	DNase-seq	f_203
204	ENCFF534VWZ	mean	DNASE	stomach female embryo (107 days)	NA	DNase-seq	f_204
205	ENCFF343DFM	mean	DNASE	small intestine female embryo (110 days)	NA	DNase-seq	f_205
206	ENCFF723FDT	mean	DNASE	MG63	NA	DNase-seq	f_206
207	ENCFF792NVL	mean	DNASE	skin of body female embryo (82 days)	NA	DNase-seq	f_207
208	ENCFF617ONE	mean	DNASE	left renal cortex interstitium male embryo (105 days)	NA	DNase-seq	f_208
209	ENCFF873DWP	mean	DNASE	stomach male embryo (58 days) and male embryo (76 days)	NA	DNase-seq	f_209
210	ENCFF862JVF	mean	DNASE	left kidney female embryo (59 days) and male embryo (91 day)	NA	DNase-seq	f_210
211	ENCFF996GHG	mean	DNASE	hematopoietic multipotent progenitor cell	NA	DNase-seq	f_211
212	ENCFF969UJW	mean	DNASE	kidney female embryo (120 days)	NA	DNase-seq	f_212
213	ENCFF413KYW	mean	DNASE	muscle of back female embryo (115 days)	NA	DNase-seq	f_213
214	ENCFF771PWA	mean	DNASE	hematopoietic multipotent progenitor cell male adult (25 years) treated with erythropoietin for 20 days, hydrocortisone succinate for 20 days, kit ligand for 20 days, interleukin-3 for 20 days	NA	DNase-seq	f_214
215	ENCFF671BMS	mean	DNASE	small intestine female embryo (120 days)	NA	DNase-seq	f_215
216	ENCFF657KLL	mean	DNASE	brain embryo (112 days)	NA	DNase-seq	f_216
217	ENCFF424IXN	mean	DNASE	stomach female embryo (105 days)	NA	DNase-seq	f_217
218	ENCFF415LNY	mean	DNASE	left kidney female embryo (98 days)	NA	DNase-seq	f_218
219	ENCFF248OBP	mean	DNASE	trophoblast cell embryo (21 week)	NA	DNase-seq	f_219
220	ENCFF328DCV	mean	DNASE	common myeloid progenitor, CD34-positive female adult (27 years)	NA	DNase-seq	f_220
221	ENCFF681KGX	mean	DNASE	eye female embryo (76 days)	NA	DNase-seq	f_221
222	ENCFF332EJM	mean	DNASE	renal cortex interstitium male embryo (108 days)	NA	DNase-seq	f_222
223	ENCFF987HVM	mean	DNASE	placenta female embryo (108 days)	NA	DNase-seq	f_223
224	ENCFF922TBR	mean	DNASE	stomach female adult (53 years)	NA	DNase-seq	f_224
225	ENCFF209YFM	mean	DNASE	small intestine female embryo (107 days)	NA	DNase-seq	f_225
226	ENCFF811EUQ	mean	DNASE	large intestine female embryo (120 days)	NA	DNase-seq	f_226
227	ENCFF798YGS	mean	DNASE	kidney glomerular epithelial cell male adult (43 years) and male adult (62 years)	NA	DNase-seq	f_227
228	ENCFF319GAX	mean	DNASE	renal pelvis female embryo (96 days)	NA	DNase-seq	f_228
229	ENCFF083VCD	mean	DNASE	lung female embryo (76 days)	NA	DNase-seq	f_229
230	ENCFF044CTX	mean	DNASE	muscle of back male embryo (104 days)	NA	DNase-seq	f_230
231	ENCFF899HCF	mean	DNASE	lung female embryo (85 days)	NA	DNase-seq	f_231
232	ENCFF085EFX	mean	DNASE	spinal cord male embryo (105 days)	NA	DNase-seq	f_232
233	ENCFF833WVM	mean	DNASE	hematopoietic multipotent progenitor cell treated with interleukin-3 for 4 days, kit ligand for 4 days, hydrocortisone succinate for 4 days, erythropoietin for 4 days	NA	DNase-seq	f_233
234	ENCFF577SOF	mean	DNASE	HepG2	NA	DNase-seq	f_234
235	ENCFF366GCX	mean	DNASE	foreskin fibroblast male newborn	NA	DNase-seq	f_235
236	ENCFF575XEK	mean	DNASE	omental fat pad female adult (53 years)	NA	DNase-seq	f_236
237	ENCFF207LXN	mean	DNASE	large intestine female embryo (110 days)	NA	DNase-seq	f_237
238	ENCFF604EJP	mean	DNASE	heart female embryo (105 days)	NA	DNase-seq	f_238
239	ENCFF365HVU	mean	DNASE	renal cortex interstitium male embryo (113 days)	NA	DNase-seq	f_239
240	ENCFF064KBT	mean	DNASE	brain female embryo (96 days)	NA	DNase-seq	f_240
241	ENCFF677VKI	mean	DNASE	thyroid gland male adult (37 years)	NA	DNase-seq	f_241
242	ENCFF068ZBX	mean	DNASE	liver embryo (59 days) and embryo (80 days)	NA	DNase-seq	f_242
243	ENCFF288HWP	mean	DNASE	stomach male adult (54 years)	NA	DNase-seq	f_243
244	ENCFF921GFL	mean	DNASE	thymus male embryo (127 days)	NA	DNase-seq	f_244
245	ENCFF414NAA	mean	DNASE	upper lobe of left lung male adult (37 years)	NA	DNase-seq	f_245
246	ENCFF131GBV	mean	DNASE	endodermal cell	NA	DNase-seq	f_246
247	ENCFF016KEV	mean	DNASE	forelimb muscle female embryo (108 days)	NA	DNase-seq	f_247
248	ENCFF522NPH	mean	DNASE	CD4-positive, alpha-beta T cell male adult (37 years)	NA	DNase-seq	f_248
249	ENCFF858BSX	mean	DNASE	muscle of leg male embryo (101 day)	NA	DNase-seq	f_249
250	ENCFF161KLK	mean	DNASE	gastrocnemius medialis male adult (37 years)	NA	DNase-seq	f_250
251	ENCFF073UDC	mean	DNASE	gastrocnemius medialis male adult (54 years)	NA	DNase-seq	f_251
252	ENCFF362OUW	mean	DNASE	stomach male embryo (91 day)	NA	DNase-seq	f_252
253	ENCFF499LIJ	mean	DNASE	muscle of back male embryo (101 day)	NA	DNase-seq	f_253
254	ENCFF008DNO	mean	DNASE	heart female embryo (117 days)	NA	DNase-seq	f_254
255	ENCFF294LJN	mean	DNASE	kidney tubule cell female adult (80 years) and male adult (62 years)	NA	DNase-seq	f_255
256	ENCFF433QRU	mean	DNASE	fibroblast of skin of abdomen male embryo (97 days)	NA	DNase-seq	f_256
257	ENCFF230OUF	mean	DNASE	pancreas male adult (34 years)	NA	DNase-seq	f_257
258	ENCFF532VGP	mean	DNASE	trophoblast cell originated from H1-hESC	NA	DNase-seq	f_258
259	ENCFF401OYD	mean	DNASE	left kidney male embryo (96 days)	NA	DNase-seq	f_259
260	ENCFF338NJM	mean	DNASE	skin fibroblast male embryo (97 days)	NA	DNase-seq	f_260
261	ENCFF378OWK	mean	DNASE	brain female embryo (142 days)	NA	DNase-seq	f_261
262	ENCFF687KFN	mean	DNASE	small intestine male embryo (105 days)	NA	DNase-seq	f_262
263	ENCFF509TTX	mean	DNASE	heart female embryo (110 days)	NA	DNase-seq	f_263
264	ENCFF103KGP	mean	DNASE	common myeloid progenitor, CD34-positive female	NA	DNase-seq	f_264
265	ENCFF452CPH	mean	DNASE	adrenal gland male adult (37 years)	NA	DNase-seq	f_265
266	ENCFF748UWO	mean	DNASE	muscle of back female embryo (85 days)	NA	DNase-seq	f_266
267	ENCFF875TFI	mean	DNASE	muscle of leg female embryo (85 days)	NA	DNase-seq	f_267
268	ENCFF340RUK	mean	DNASE	Peyer's patch male adult (54 years)	NA	DNase-seq	f_268
269	ENCFF410CYG	mean	DNASE	amniotic stem cell	NA	DNase-seq	f_269
270	ENCFF978RWQ	mean	DNASE	stomach female embryo (98 days)	NA	DNase-seq	f_270
271	ENCFF584GYN	mean	DNASE	large intestine female embryo (91 day)	NA	DNase-seq	f_271
272	ENCFF029QDT	mean	DNASE	lung female embryo (120 days)	NA	DNase-seq	f_272
273	ENCFF285PVN	mean	DNASE	skin fibroblast male embryo (97 days)	NA	DNase-seq	f_273
274	ENCFF726FED	mean	DNASE	SW480	NA	DNase-seq	f_274
275	ENCFF711EJL	mean	DNASE	GM23248	NA	DNase-seq	f_275
276	ENCFF484VHZ	mean	DNASE	muscle of trunk female embryo (120 days)	NA	DNase-seq	f_276
277	ENCFF639JCH	mean	DNASE	islet precursor cell	NA	DNase-seq	f_277
278	ENCFF151SBP	mean	DNASE	medulla oblongata male adult (78 years) and male adult (84 years)	NA	DNase-seq	f_278
279	ENCFF640UAZ	mean	DNASE	right lung male embryo (115 days)	NA	DNase-seq	f_279
280	ENCFF102SIK	mean	DNASE	body of pancreas male adult (54 years)	NA	DNase-seq	f_280
281	ENCFF227VUS	mean	DNASE	mammary epithelial cell female adult (18 years)	NA	DNase-seq	f_281
282	ENCFF082TEM	mean	DNASE	gastrocnemius medialis female adult (51 year)	NA	DNase-seq	f_282
283	ENCFF037DUA	mean	DNASE	uterus female adult (53 years)	NA	DNase-seq	f_283
284	ENCFF818DSK	mean	DNASE	ELR	NA	DNase-seq	f_284
285	ENCFF037ZSW	mean	DNASE	omental fat pad female adult (51 year)	NA	DNase-seq	f_285
286	ENCFF280CMC	mean	DNASE	stomach male child (3 years)	NA	DNase-seq	f_286
287	ENCFF570XSN	mean	DNASE	B cell male adult (37 years)	NA	DNase-seq	f_287
288	ENCFF113YFF	mean	DNASE	foreskin fibroblast male newborn	NA	DNase-seq	f_288
289	ENCFF981AOU	mean	DNASE	renal cortex interstitium male embryo (91 day)	NA	DNase-seq	f_289
290	ENCFF828TLX	mean	DNASE	ACHN	NA	DNase-seq	f_290
291	ENCFF054DND	mean	DNASE	kidney tubule cell female adult (80 years) treated with 5 uM cisplatin	NA	DNase-seq	f_291
