sample,status,sample_formatted
P301T_AR_1,tumor,NKI_P301T
P305T_AR_1,tumor,NKI_P305T
P309T_AR_1,tumor,NKI_P309T
P310T_AR_1,tumor,NKI_P310T
P313T_AR_1,tumor,NKI_P313T
P324T_AR_1,tumor,NKI_P324T
P327T_AR_1,tumor,NKI_P327T
P328T_AR_1,tumor,NKI_P328T
P336T_AR_1,tumor,NKI_P336T
P342T_AR_1,tumor,NKI_P342T
P343T_AR_1,tumor,NKI_P343T
P348T_AR_1,tumor,NKI_P348T
P349T_AR_1,tumor,NKI_P349T
P352T_AR_1,tumor,NKI_P352T
P355T_AR_1,tumor,NKI_P355T
P416T_AR_1,tumor,NKI_P416T
P426T_AR_1,tumor,NKI_P426T
P427T_AR_1,tumor,NKI_P427T
P431T_AR_1,tumor,NKI_P431T
P433T_AR_1,tumor,NKI_P433T
P444T_AR_1,tumor,NKI_P444T
P449T_AR_1,tumor,NKI_P449T
P450T_AR_1,tumor,NKI_P450T
P452T_AR_1,tumor,NKI_P452T
P456T_AR_1,tumor,NKI_P456T
P462T_AR_1,tumor,NKI_P462T
P464T_AR_1,tumor,NKI_P464T
P466T_AR_1,tumor,NKI_P466T
P475T_AR_1,tumor,NKI_P475T
P500T_AR_1,tumor,NKI_P500T
P506T_AR_1,tumor,NKI_P506T
P507T_AR_1,tumor,NKI_P507T
P509T_AR_1,tumor,NKI_P509T
P511T_AR_1,tumor,NKI_P511T
P513T_AR_1,tumor,NKI_P513T
P527T_AR_1,tumor,NKI_P527T
P531T_AR_1,tumor,NKI_P531T
P533T_AR_1,tumor,NKI_P533T
P534T_AR_1,tumor,NKI_P534T
P536T_AR_1,tumor,NKI_P536T
P540T_AR_1,tumor,NKI_P540T
P544T_AR_1,tumor,NKI_P544T
P552T_AR_1,tumor,NKI_P552T
P555T_AR_1,tumor,NKI_P555T
P559T_AR_1,tumor,NKI_P559T
P560T_AR_1,tumor,NKI_P560T
P593T_AR_1,tumor,NKI_P593T
P603T_AR_1,tumor,NKI_P603T
P618T_AR_1,tumor,NKI_P618T
P643T_AR_1,tumor,NKI_P643T
P674T_AR_1,tumor,NKI_P674T
P680T_AR_1,tumor,NKI_P680T
P695T_AR_1,tumor,NKI_P695T
P710T_AR_1,tumor,NKI_P710T
P717T_AR_1,tumor,NKI_P717T
P730T_AR_1,tumor,NKI_P730T
P737T_AR_1,tumor,NKI_P737T
P747T_AR_1,tumor,NKI_P747T
P779T_AR_1,tumor,NKI_P779T
P811T_AR_1,tumor,NKI_P811T
P832T_AR_1,tumor,NKI_P832T
